Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
O15,FALSE,97,Target 1,Unknown,SYBR,12.23075782,0.978627422,1.722709622,Amp,FALSE,,,,,3,7,78.62545776,,,
M17,FALSE,98,Target 1,Unknown,SYBR,11.91687544,0.974968759,1.708211864,Amp,FALSE,12.00,0.08,0.68,1.07,3,7,78.76024628,,,
N17,FALSE,98,Target 1,Unknown,SYBR,12.01379787,0.984025738,1.709785741,Amp,FALSE,,,,,3,6,78.62545776,,,
O17,FALSE,98,Target 1,Unknown,SYBR,12.08022392,0.981514168,1.710996491,Amp,FALSE,,,,,3,6,78.62545776,,,
M19,FALSE,99,Target 1,Unknown,SYBR,12.13916363,0.989562882,1.702044144,Amp,FALSE,12.20,0.12,0.97,1.09,3,7,78.76024628,,,
N19,FALSE,99,Target 1,Unknown,SYBR,12.13262647,0.978391464,1.713505307,Amp,FALSE,,,,,3,6,78.76024628,,,
O19,FALSE,99,Target 1,Unknown,SYBR,12.33992048,0.982768069,1.710081885,Amp,FALSE,,,,,3,6,78.62545776,,,
M21,FALSE,100,Target 1,Unknown,SYBR,11.76688118,0.987740713,1.709189847,Amp,FALSE,12.08,0.27,2.21,1.08,3,6,78.89504242,,,
N21,FALSE,100,Target 1,Unknown,SYBR,12.22219223,0.981819175,1.699648213,Amp,FALSE,,,,,3,6,78.62545776,,,
O21,FALSE,100,Target 1,Unknown,SYBR,12.23702768,0.975646493,1.706653373,Amp,FALSE,,,,,3,6,78.62545776,,,
M23,FALSE,101,Target 1,Unknown,SYBR,11.82645632,0.98155328,1.700536684,Amp,FALSE,12.05,0.29,2.40,1.07,3,6,78.89504242,,,
N23,FALSE,101,Target 1,Unknown,SYBR,12.3777202,0.970914954,1.680928563,Amp,FALSE,,,,,3,7,78.76024628,,,
O23,FALSE,101,Target 1,Unknown,SYBR,11.94757354,0.967469482,1.692758844,Amp,FALSE,,,,,3,6,78.89504242,,,
M2,FALSE,102,Target 1,Unknown,SYBR,12.08105833,0.987404509,1.721300309,Amp,FALSE,12.36,0.31,2.53,1.10,3,6,78.89620209,,,
N2,FALSE,102,Target 1,Unknown,SYBR,12.69715584,0.984789303,1.717850675,Amp,FALSE,,,,,3,7,78.62664795,,,
O2,FALSE,102,Target 1,Unknown,SYBR,12.29673398,0.980503116,1.716698527,Amp,FALSE,,,,,3,7,78.76142883,,,
